,ID,Address,Type,Price,Bedrooms,Bathrooms,Parking Space,Land Size,Building Size,Features,Description,Agents,Office,URL,Image
0,436254544,"K628/2 Morton Street, Parramatta, NSW 2150",Apartment,530.0,1,1,1,383.18,78.0,Air conditioning Alarm system Built-in wardrobes Ensuites  Garage spaces  Intercom ,"Available 8th March

Ideal for entertaining! This modern bedroom apartment enjoys direct access to level 6. All rooms open to the large court yard with direct access. Easy walking distance to bus stops, public schools and university of western Sydney as well only few minutes drive to Parramatta Station, Westfield Shopping Centre and Westmead Hospital.

Located on the Parramatta riverfront at 2 Morton Street, Promenade has been designed to capture all that's best about river life: the panoramic river and city views, abundant light, green landscapes and the sound of flowing water. Close to the heart of a bustling city yet feeling like a luxury retreat, residents will feel serene perched high above the tranquil turns of the river.


Features include:

â€“ Open plan living areas with tiled living area
â€“ Spacious bedrooms with built in robes
â€“ Modern bathroom design with shower
â€“ Designer kitchen with gas cooking, oven, dishwasher and fridge included
â€“ Air Conditioning
â€“ Internal laundry with dryer
â€“ Large courtyard with private access ideal for entertainment and leisure
â€“ Secure carspace
â€“ No storage cage


Lease periods are 6-12 months.
Pets are generally allowed, but at landlord's discretion.

To register your interest, submit an enquiry and keep updated about the next available inspection, please click on:

â€“ Get in touch or enquire on realestate.com
â€“ Email agent or send enquiry on Domain

You will then be responded to & notified of the next available inspection via email.

For more information on how to apply, please follow the link: https://villageproperty.com.au/rent/tenancy-application/

NOTE: The images used are of an apartment with a similar layout. Some differences may be apparent upon inspection.","Alan Wang
04253258...","Village Property Estate Agents - Sydney
Level 7, 70 Pitt Street, SYDNEY, NSW 2000",https://www.realestate.com.au/property-apartment-nsw-parramatta-436254544,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/eca5e3d790e0561ccd036e5bd2eaf889905ffcf36acc2c25cd0224581655e594/image.jpg"
1,436253056,"97/13-15 Hassall Street, Parramatta, NSW 2150",Apartment,650.0,2,2,1,383.18,78.0,Garage spaces  ,"FIORI 2 BEDROOM APARTMENT
Situated on the 8th floor of the landmark building Fiori', this stunning 2 bedroom apartment offers a generous living space including an east facing terrace balcony plus a secure parking space. Featuring quality inclusions, light-filled interiors & contemporary easy-care lifestyle, it boasts:
- Spacious lounge & dining opening onto east facing entertainer's terrace
- Stunning kitchen with granite benchtops, SMEG appliances including gas cooktops, oven & dishwasher
- Modern fully tiled bathroom & Ensuite to main
- Built in robes to both bedrooms
- 3 reverse cycle air conditioners
- Internal laundry with clothes dryer
- Resort style facilities including heated indoor swimming pool, spa, sauna, gym & BBQ area
- Convenient location within minutes' walk to Parramatta CBD, railway station, bus interchange hub, Westfield Shoppingtown, restaurants, cafes, schools & parks","Ali Awick
04244922...
Adriano Tassone
04144334...","Ray White - Parramatta|Oatlands|Northmead|Greystanes
Ground Floor, 31-39 Macquarie Street, PARRAMATTA, NSW 2150",https://www.realestate.com.au/property-apartment-nsw-parramatta-436253056,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/a81fca8ccdc05325525eb4dbb98d75ceae81a929ee8bb3f7c3e922301d6deedc/image.jpg"
2,436252152,"602/26 Marion Street, Parramatta, NSW 2150",Apartment,500.0,1,1,1,383.18,78.0,Air conditioning Alarm system Balcony Built-in wardrobes Dishwasher Intercom Pets allowed Split-system heating ,"We invite you to inspect our new rental listing.

Property features:
-Top floor apartment with spacious open plan living and dining area
-Queen sized bedroom with built-in wardrobe
-Beautifully finished bathroom with floor to ceiling tiles
-Modern style kitchen with stainless steel appliances and ample storage
-Split system air conditioning in living room, open balcony and internal laundry

Property facts:
-Preferred lease term: 6 - 18 months
-Pets allowed: Subject to application

Building and location:
-Within a 3 minute walk to Harris Park train station
-5 minute drive to Parramatta Public School
-3 minute drive to Westfield Parramatta

For further details or to arrange an inspection, please contact Chidiac representative directly.

Please ensure you register for upcoming inspections to receive notifications of any inspection changes or cancellations, as well as new listings.

Prospective tenants should make their own independent enquiries, including those related to utility and internet service providers as some may have limited availability, and additional connection fees may apply.

The information contained within this advertisement is for illustrative/marketing purposes only and does not form part of the lease agreement and should be used as a guide only.","Rita Michael
04996515...","Chidiac Realty - WENTWORTH POINT
1 Baywater Drive, WENTWORTH POINT, NSW 2127",https://www.realestate.com.au/property-apartment-nsw-parramatta-436252152,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/2fb07091e9372af2bd4fc1bd7a3dc8ca44c2fb2ddc6b6485f765cfc306d0005a/image.jpg"
3,434672055,"180 George St, Parramatta, NSW 2150",Unit,640.0,1,1,1,383.18,78.0,Air conditioning Balcony Broadband Built-in wardrobes Intercom Study Toilets  ,"1 Unit at $640 per week- 6 Month lease only
2 Units at $650 per week - 6 Month lease only
2 Unit at $660 per week - 6 Month lease only


Brand New Luxury Waterfront Apartments | Cloud-Scraping 67 Level Glass Tower | Breathtaking River & City Skyline Views | Ground Level Retail with Riverfront CafÃ©s & Supermarkets | Indoor Aquatic Centre with Heated Pool, Spa & Sauna | Fully Equipped Gymnasium | 1200sqm podium gardens | Outdoor Resort-Style Pool & BBQ Area
Soaring to unprecedented heights, 180 George will set a new standard of riverfront living in Parramatta. The cloud-scraping 67 level glass tower is the tallest riverfront building ever to grace Parramattaâ€™s skies offering panoramic views from almost every apartment. 522 landmark tower homes looking out over Parramatta River to the Sydney CBD skyline and beyond. It stands tall as a soaring symbol of a capital city that is reinventing itself as the ultimate lifestyle address at the epicentre of Western Sydney.

Apartment Features:
â€¢ Spacious 1 bedroom apartment with built-in wardrobes
â€¢ Large semi-enclosed balconies or entertainer terraces with uninterrupted views
â€¢ Floor-to-ceiling glass in all rooms
â€¢ Large 600x600mm tiles throughout all living areas
â€¢ Internal laundry with dryer included
â€¢ Integrated split system air conditioning & LED downlights throughout
â€¢ Security network, video intercom & CCTV cameras
â€¢ Provisions for broadband internet and pay TV
â€¢ Secure resident and visitor undercover car parking with direct lift access to each level
â€¢ Bicycle parking available to all residents

Gourmet kitchens & Contemporary Bathrooms:
â€¢ Premium BOSCH stainless steel appliances including oven, gas cooktop, ducted rangehood, microwave and fully integrated dishwasher
â€¢ Dual coloured soft-closing, polyurethane full height cabinetry
â€¢ 40mm Caesarstone benchtops and splashbacks
â€¢ Frameless glass showers
â€¢ Floor-to-ceiling large format tiles with marble inspired feature wall
â€¢ Wall-mounted basin and toilet suites with concealed cistern
â€¢ Crafted mirrored cabinetry with ample storage

Facilities: (Coming soon)
â€¢ Ground level retail with restaurants, and a major
â€¢ national supermarket spanning over 1,000sqm
â€¢ Beautifully landscaped public domain connecting
â€¢ 180 George to the riverfront and Ferry Wharf
â€¢ Onsite 1126sqm, 75 place Childcare centre
â€¢ 1200sqm podium gardens with an outdoor resort-style pool and BBQ area
â€¢ Indoor aquatic centre with heated pool, spa and sauna
â€¢ Fully equipped gymnasium
â€¢ 6 state-of-the-art, high-speed smart lifts traveling at 7m per second
â€¢ Dedicated onsite Building Manager

Location & Lifestyle:
â€¢ Riverside Deli Bar cafÃ© & Port Bar restaurant 160m
â€¢ â€œEat Streetâ€ Church Street 500m
â€¢ Meriton Dining Precinct which includes Bay Vista Dessert Bar, Alex & Co, Holy Basil & Meat & Wine Co 700m
â€¢ Westfield Parramatta 850m
â€¢ Parramatta free shuttle bus stop 77m
â€¢ Parramatta rivercat with express service to circular quay on your doorstep
â€¢ Future Light Rail Stop & Metro West Station 500m
â€¢ Parramatta Train Station 650m
â€¢ University of Western Sydney international-student campus 300m
â€¢ Parramatta River walk At the door step
â€¢ River Foreshore reserve 500m
â€¢ Future Arts Precinct with Powerhouse museum 700m
â€¢ Commbank Stadium 1.6km
â€¢ Parramatta Park 1.2km
â€¢ Rosehill Gardens Racecourse 2.6km
â€¢ Parramatta Business Centre 1min walk

CONTACT BUILDING MANAGEMENT ON 0459 071 901 TO ARRANGE YOUR PRIVATE INSPECTION TODAY!

Building Management Office located at 180 George Street, Parramatta

Mon-Fri: 9am - 5pm
Sat: 9am - 12.30pm

* Photos are indicative of features and finishes only
* Internet connection/usage is payable by the tenant","180 George Leasing
04590719...","Meriton Property Management - SYDNEY
Level 11, 528 Kent Street, SYDNEY, NSW 2000",https://www.realestate.com.au/property-unit-nsw-parramatta-434672055,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/6227f3737fd4f272820479e742e1c5dbb1b1bd7530f76b9894e03c3c57e29b3e/image.jpg"
4,436250300,"60/3 Sorrell Street, Parramatta, NSW 2150",Apartment,585.0,2,2,1,383.18,78.0,Air conditioning Open car spaces  ,"This refreshed 2 bedroom security apartment is located in one of Parramatta's most well-maintained complexes, set within a highly sought after location within the tightly held riverbank locale. Close to reputable schools and trendy restaurants.

- New blinds & fans installed in bedrooms
- Newly renovated apartment with new carpet and appliances
- Modern kitchen with stainless steel appliances and gas cooking
- Good size bedrooms with built-in mirrored wardrobes
- Master bedroom with ensuite and balcony access
- Refreshed main bathroom, ensuite and internal laundry
- Lock up garage in security car park
- River views from lounge room and balcony
- Resort style facilities with indoor swimming pool , gym & sauna
- Solid full brick and concrete slab construction
- Within steps of Parramatta's vibrant city nightlife
- Close proximately to newly proposed Light Rail and Westfield","Alan Yu
04063814...
Julian Cardona
04327076...","McGrath - Epping
Ground Floor, 3 Carlingford Road, EPPING, NSW 2121",https://www.realestate.com.au/property-apartment-nsw-parramatta-436250300,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/bd62cc5cc026e07b531abea65c3d83a5526aab80160a5979ba86139021d2fb09/image.jpg"
5,436141524,"D608/1 Broughton Street, Parramatta, NSW 2150",Apartment,600.0,2,2,1,383.18,78.0,Air conditioning Alarm system Built-in wardrobes Ensuites  Intercom Open car spaces  ,"Available 20th February


Located on the Parramatta riverfront and completed in 2018, Promenade has been designed to capture all that's best about river life: the panoramic river and city views, abundant light, green landscapes and the sound of flowing water.

The building is close to the heart of a bustling city yet feeling like a luxury retreat, residents will feel serene perched high above the tranquil turns of the river. Easy walking distance to bus stops, public schools and university of western Sydney as well only few minutes drive to Parramatta Station, Westfield Shopping Centre and Westmead Hospital.

Features Include:
- Desirable East/West aspect maximising light and promoting cross-flow ventilation
- Light filled bedrooms with built in wardrobes
- Study area perfect for a working space
- Modern bathrooms, master with bathtub
- Reverse cycle air-conditioning
- Designer kitchen with stone bench tops, European appliances including dishwasher
- Tiled living areas
- Internal laundry with dryer
- The complex offers a communal bbq & grass area
- Basement security car space
- Intercom, lift & visitor parking

Lease periods are 6-12 months.
Pets are generally allowed, but at landlord's discretion.

To register your interest, submit an enquiry and keep updated about the next available inspection, please click on:

â€“ Get in touch or enquire on realestate.com
â€“ Email agent or send enquiry on Domain

You will then be responded to & notified of the next available inspection via email.

For more information on how to apply, please follow the link: https://villageproperty.com.au/rent/tenancy-application/

NOTE: The images used are of an apartment with a similar layout. Some differences may be apparent upon inspection.","Alan Wang
04253258...","Village Property Estate Agents - Sydney
Level 7, 70 Pitt Street, SYDNEY, NSW 2000",https://www.realestate.com.au/property-apartment-nsw-parramatta-436141524,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/a01a26cbbe2dd29ff2ae6b4df104cb8ab4cf9b73fe68a5adf04f9242a27d84cc/image.jpg"
6,432225302,"16/14 Thomas Street, Parramatta, NSW 2150",Unit,400.0,2,1,1,383.18,72.0,Garage spaces  ,"COMFORTABLE LIVING!!!

PLEASE REGISTER YOUR INTEREST USING THE BOOK INSPECTION LINK TO ENSURE YOU DO NOT MISS OUT ON THE UPDATES FOR THIS PROPERTY. THOSE NOT REGISTERED MAY MISS OUT ON A VIEWING OPPORTUNITY
THANK YOU

Peacefully situated within a sought after & tightly held riverbank enclave & just a short stroll to Parramatta's river, theatres, shops, famous eateries, vibrant cafes, schools, Western Sydney University, railway station, bus & rivercat ferry, this spacious 2 bedroom home unit is perfectly positioned on the top floor of a desirable security block, it features:

- Combined lounge & dining room
- Neat & tidy kitchen with electric cooking
- Bathroom with separate toilet
- Built-in wardrobe
- Balcony off lounge room
- Internal laundry
- Single lock up garage
- Brand new carpet throughout

""Ray White Parramatta Group - Parramatta|Oatlands|Northmead|Greystanes, its directors, employees and related entities believe that the information contained herein is gathered from sources we deem to be reliable. However, no representation or warranties of any nature whatsoever are given, intended or implied. Any interested parties should rely on their own inquiries.""","Ali Awick
04244922...
Ray White Parramatta
02 9891 ...","Ray White - Parramatta|Oatlands|Northmead|Greystanes
Ground Floor, 31-39 Macquarie Street, PARRAMATTA, NSW 2150",https://www.realestate.com.au/property-unit-nsw-parramatta-432225302,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/21b23557bd5365f35977906bcef3a803da34263b3924ffa516449e7b6c63f375/image.jpg"
7,430794098,"304/12 Macarthur St, Parramatta, NSW 2150",Apartment,650.0,2,2,1,383.18,78.0,Garage spaces  Secure parking ,"INSPECTIONS FROM WEDNESDAY 22ND OF FEB 2023

Absolute convenience for suburban city living located in close vicinity to Westfield Parramatta, Westmead Hospital Precinct, University of Western Sydney, Parramatta Station, as well as a bus station less than 100m away.

Spacious living area with a covered entertainerâ€™s balcony, tiles throughout with a sleek stainless-steel kitchen.

The property features:

Westinghouse Gas cooktopWestinghouse Electric built-in oven Dishlex dishwasherLaundry including a Simpson clothes dryerEspritec security intercom and secure building accessSplit room air conditioner in living roomModern bathroom with floor to ceiling tilesUnderground car park and storage cageGenerous living and dining areaLavish bedrooms with a built-in wardrobeLevel lift accessEmbedded Network with Energy TradeLBN Ready, T&Câ€™s applyDon't miss out, enquire and register your interest now!!

For any enquiries, please don't hesitate to contact Base Realty on the details below.

Email: enquiry@baserealty.com.au

Phone: 0466 994 528

*PLEASE NOTE PHOTOS ARE INDICATIVES ONLY AND MAY NOT INCLUDE IDENTICAL FINISHES/FIXTURES*

Property Code: 453","Base Management
04669945...","Base Realty - Westmead
PO Box 495, PARRAMATTA, NSW 2150",https://www.realestate.com.au/property-apartment-nsw-parramatta-430794098,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/a966d50346dbf7f51b7efcfc7bb66c2150c8731058101972bcdc55e586203e90/image.jpg"
8,436246652,"184/109 George Street, Parramatta, NSW 2150",Apartment,570.0,1,1,1,383.18,78.0,Air conditioning Alarm system Balcony Broadband Built-in wardrobes Dishwasher Floorboards Furnished Gym Intercom Open car spaces  Pay TV access Secure parking Split-system air con Split-system heating Study Toilets  ,"New floor board and Fresh pained furnished apartment

Close to WSU campus, Ferry and Parramatta train station

Shops, Cafe and restaurants just downstairs

Large one bedroom plus study

Spacious bathroom with bathtub

Internal laundry with washer and dryer

Gas cooktop with appliances (Fridge included)

Microwave & Air-Fly

Large screen LCD TV & Recliner leather 3 seats sofa

Queen size bed & Dining set","Rental
04347361...
Eddie Lee
04349361...","MLL Invest - SYDNEY
Suite 508 ,267 Castlereagh Street, SYDNEY, NSW 2000",https://www.realestate.com.au/property-apartment-nsw-parramatta-436246652,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/0c698e044881afaeb1d48b430a94d9e7d729238550304f1d7d3108b11c8db43c/image.jpg"
9,436246212,"5/91 Great Western Highway, Parramatta, NSW 2150",Apartment,430.0,2,1,1,383.18,78.0,Air conditioning Built-in wardrobes Garage spaces  ,"RealHelp Real Estate is presenting this beautiful 2 bedroom apartment right next to the Parramatta CBD. This first-floor unit is conveniently located in a prime spot and within walking distance from train stations, bus stops, Westfield, and parklands.

Features:
Mirrored built-in wardrobes in both bedrooms
New Floor Board
Combined Lounge and dining with air conditioner
Modern Kitchen with dishwasher with ample storage
Internal laundry
Dedicated spacious car space

ðŸ”· Rent= $430/Week
ðŸ”· Available: 07/03/223
ðŸ”· Long term lease available!

COVID SAFETY RULES:
Everyone attending the inspection must follow the below.
Must wear a Face Mask.
Keep 1.5 Meter distance to each other.
Must sanitize their hands.
Must check-in via the Service NSW QR code provided by our agent.
Must check-in via RealHelp property-specific QR code.
If you are not feeling well or have any cold/ flu/Covid like symptoms, please do not attend.

Disclaimer: All information contained herein is gathered from sources we believe to be reliable. However, we cannot guarantee its accuracy; we do not accept any responsibility for its accuracy and do no more than pass it on. Any interested persons should rely on their own inquiries.","Derik Gomes
04334622...
Sayed Ahmad
04705680...","RealHelp Real Estate
Suite 314 - Level 3, 81 Flushcombe Rd, BLACKTOWN, NSW 2148",https://www.realestate.com.au/property-apartment-nsw-parramatta-436246212,"https://i2.au.reastatic.net/800x600-resize,extend,r=33,g=40,b=46/4848e78c6d509f47973899f2bc89194e42a8e4c7b0adc1dc61f50255c55e977d/image.jpg"
